phone.number,account.length,international.plan,voice.mail.plan,number.vmail.messages,total.day.minutes,total.day.calls,total.day.charge,total.eve.minutes,total.eve.calls,total.eve.charge,total.night.minutes,total.night.calls,total.night.charge,total.intl.minutes,total.intl.calls,total.intl.charge,number.customer.service.calls
 350-5622,119, no, no,0,287.1,83,48.81,218.4,124,18.56,151.5,42,6.82,11,4,2.97,1
 343-3870,134, no, no,0,199.7,107,33.95,205.8,86,17.49,198.8,125,8.95,8.3,5,2.24,0
 343-8580,48, no, no,0,247.6,114,42.09,172.3,110,14.65,264.4,107,11.9,7.1,3,1.92,1
 331-5614,185, no, no,0,158.5,93,26.95,294.7,69,25.05,146.2,116,6.58,16.6,3,4.48,0
 372-4493,91, no, yes,39,160.8,97,27.34,119.3,54,10.14,147.9,101,6.66,10.3,3,2.78,3
 342-9503,90, no, yes,31,118.5,92,20.15,257.9,76,21.92,186.2,96,8.38,9,6,2.43,1
 343-3973,159, no, no,0,181,107,30.77,188.4,114,16.01,175.8,41,7.91,9.9,4,2.67,7
 374-3585,103, no, yes,40,140.3,52,23.85,245.6,114,20.88,111.7,86,5.03,11.1,6,3,1
 378-7878,142, yes, no,0,160.6,101,27.3,202,125,17.17,221.7,100,9.98,8.8,2,2.38,1
 420-9325,104, no, no,0,111.9,105,19.02,197.7,121,16.8,302.8,108,13.63,10.1,5,2.73,1
 338-7583,82, no, no,0,120.5,107,20.49,176.3,124,14.99,258,121,11.61,10.5,5,2.84,0
 399-1915,76, no, no,0,156.3,117,26.57,115.7,53,9.83,316.4,121,14.24,6.8,4,1.84,1
 329-8057,88, no, no,0,242.4,89,41.21,161.4,89,13.72,142.4,95,6.41,5.4,2,1.46,1
 358-5492,118, no, no,0,178.4,81,30.33,182.7,119,15.53,251.4,109,11.31,10.8,2,2.92,1
 385-4731,139, no, no,0,258.7,94,43.98,190.3,132,16.18,247.2,73,11.12,11.4,2,3.08,1
 364-8868,87, no, yes,18,124.3,104,21.13,196.1,80,16.67,290,110,13.05,7.2,3,1.94,1
 384-6032,167, no, no,0,94.9,114,16.13,315.8,105,26.84,181,71,8.15,10.8,6,2.92,0
 389-5315,138, no, no,0,182,101,30.94,200.3,119,17.03,208.9,131,9.4,13.4,3,3.62,4
 348-8302,130, no, no,0,162,62,27.54,278.1,108,23.64,197.5,82,8.89,9.1,4,2.46,1
 371-8654,87, no, no,0,176.6,83,30.02,221.6,101,18.84,185.3,89,8.34,9.4,1,2.54,0
 329-7365,69, no, no,0,198.8,141,33.8,203.7,110,17.31,177.1,109,7.97,15.2,2,4.1,4
 362-9109,164, yes, yes,28,156.1,98,26.54,209.9,140,17.84,190,69,8.55,11.4,4,3.08,0
 352-5412,109, no, no,0,150.6,106,25.6,147.4,108,12.53,173.2,109,7.79,9.5,5,2.57,1
 365-8548,53, no, no,0,198.3,100,33.71,304.2,93,25.86,131.5,85,5.92,9.2,5,2.48,2
 349-3579,59, no, no,0,189.1,141,32.15,198.2,113,16.85,280.2,103,12.61,2.2,7,0.59,1
 367-9956,124, no, no,0,156.9,74,26.67,195.8,82,16.64,181,99,8.15,8.8,2,2.38,1
 372-3559,73, no, no,0,67,76,11.39,223,154,18.96,236.5,151,10.64,11.2,2,3.02,1
 336-7199,94, no, no,0,261.3,89,44.42,152.4,139,12.95,120.2,124,5.41,10.5,2,2.84,0
 389-9083,80, no, no,0,135.1,92,22.97,185,103,15.73,147.1,74,6.62,14.7,5,3.97,3
 329-6776,101, yes, no,0,92.1,109,15.66,163,83,13.86,133.3,102,6,9.7,11,2.62,2
 420-7897,115, no, no,0,173.5,121,29.5,168.3,100,14.31,138.3,105,6.22,7.8,5,2.11,1
 329-2452,100, yes, no,0,156.3,82,26.57,259.4,91,22.05,143.7,93,6.47,8.3,7,2.24,5
 377-1433,85, no, no,0,274.7,79,46.7,119.4,122,10.15,296.9,74,13.36,9.4,10,2.54,1
 342-8693,110, no, no,0,244.7,84,41.6,106.4,95,9.04,194.9,61,8.77,10.5,1,2.84,2
 393-7991,92, yes, no,0,183.6,96,31.21,149.7,55,12.72,135.2,71,6.08,11.8,4,3.19,0
 380-4524,102, no, no,0,167.1,80,28.41,222.9,94,18.95,179.9,103,8.1,11.6,3,3.13,5
 405-4350,134, no, no,0,177.1,120,30.11,218.1,123,18.54,183.8,93,8.27,12.7,5,3.43,3
 338-8612,96, no, no,0,217.8,120,37.03,139.6,109,11.87,227.7,111,10.25,11.6,3,3.13,0
 418-9470,42, no, no,0,143.7,96,24.43,221,98,18.79,108.9,94,4.9,8.6,1,2.32,2
 414-1467,175, no, no,0,185,104,31.45,325.8,86,27.69,85.4,105,3.84,14.6,2,3.94,1
 361-8748,136, no, yes,23,235.6,65,40.05,177.7,81,15.1,138.7,105,6.24,11.3,5,3.05,1
 355-6250,32, yes, no,0,265.5,75,45.14,119.7,77,10.17,169.9,128,7.65,14.8,6,4,2
 412-3425,101, no, no,0,332.1,91,56.46,151,123,12.84,277.8,99,12.5,11.3,3,3.05,1
 334-5571,132, yes, yes,21,223.4,89,37.98,193.2,105,16.42,226.2,85,10.18,7.7,5,2.08,3
 357-6794,120, no, no,0,163.6,109,27.81,237.3,95,20.17,186.2,141,8.38,12.3,5,3.32,0
 355-5221,122, no, no,0,190,125,32.3,141.5,77,12.03,216.8,68,9.76,15.9,3,4.29,3
 414-2036,52, no, no,0,153.7,100,26.13,174.2,139,14.81,242.3,53,10.9,14.1,3,3.81,1
 405-2234,182, no, no,0,160.3,87,27.25,229.9,101,19.54,185.3,96,8.34,8.7,11,2.35,2
 407-3201,138, no, yes,12,114.5,100,19.47,175.1,130,14.88,112.7,85,5.07,7.8,5,2.11,0
 367-3304,130, no, no,0,140.9,68,23.95,217.5,109,18.49,123.6,96,5.56,13.6,4,3.67,3
 377-9526,106, no, no,0,168.4,85,28.63,123.3,95,10.48,162.5,83,7.31,4.6,4,1.24,3
 342-8813,150, no, no,0,150.9,92,25.65,191,106,16.24,223.6,107,10.06,8.3,4,2.24,5
 371-8929,94, no, no,0,255.1,96,43.37,276.9,67,23.54,226.5,74,10.19,10.6,2,2.86,0
 329-8540,116, no, no,0,154,127,26.18,280.4,68,23.83,213,56,9.58,8.6,2,2.32,6
 377-5013,89, no, no,0,94.5,107,16.07,191.8,85,16.3,196.2,131,8.83,15,5,4.05,1
 381-1712,45, no, no,0,135,116,22.95,159,108,13.52,170.3,130,7.66,11.1,15,3,1
 398-5195,74, no, no,0,286.9,113,48.77,260.8,121,22.17,137.1,94,6.17,12.6,6,3.4,0
 366-3805,158, no, no,0,165.4,70,28.12,280.1,104,23.81,121.8,106,5.48,10.4,9,2.81,1
 339-4924,76, no, no,0,222,99,37.74,215.9,122,18.35,204.1,131,9.18,8.2,5,2.21,3
 396-8551,102, yes, no,0,209.8,85,35.67,165.7,100,14.08,230.1,92,10.35,8.7,6,2.35,0
 417-8960,4, no, yes,31,158.3,99,26.91,164.2,98,13.96,192.7,108,8.67,12.5,3,3.38,2
 366-9936,161, no, no,0,252.3,120,42.89,243.8,98,20.72,284.4,96,12.8,9.2,2,2.48,1
 399-8419,116, no, no,0,255.5,93,43.44,224.4,122,19.07,317.3,85,14.28,12.7,4,3.43,1
 421-1264,49, no, no,0,101.7,71,17.29,223.2,102,18.97,182.1,112,8.19,7.3,3,1.97,3
 364-6992,86, no, no,0,227.9,105,38.74,218.7,118,18.59,223.2,120,10.04,14.2,5,3.83,3
 411-2297,39, no, no,0,185,113,31.45,106.5,125,9.05,167.3,78,7.53,12,2,3.24,0
 356-7848,118, no, no,0,142.2,96,24.17,164.9,107,14.02,183.7,92,8.27,7.1,4,1.92,1
 335-5378,57, no, no,0,140,100,23.8,174.7,102,14.85,258.5,111,11.63,13.3,4,3.59,1
 364-1224,138, no, no,0,157.5,96,26.78,271.7,107,23.09,138.2,84,6.22,10.7,6,2.89,2
 387-5388,98, no, no,0,237.5,130,40.38,213.2,85,18.12,194.1,107,8.73,10.1,3,2.73,0
 401-8994,67, no, no,0,164.5,79,27.97,110.3,108,9.38,203.9,102,9.18,9.8,2,2.65,1
 400-2419,145, no, yes,10,190.7,100,32.42,177.7,114,15.1,167.3,100,7.53,12.8,2,3.46,0
 337-1993,77, no, no,0,215.5,81,36.64,170.9,100,14.53,170.3,59,7.66,10.3,3,2.78,1
 360-8926,99, no, yes,12,119.9,83,20.38,237.7,98,20.2,187.6,159,8.44,16.6,2,4.48,1
 420-4654,106, yes, no,0,196.7,100,33.44,210.2,109,17.87,173.8,83,7.82,7.8,1,2.11,4
 354-2215,32, no, no,0,230.7,122,39.22,204.7,134,17.4,142,86,6.39,8.7,3,2.35,2
 399-1939,131, no, no,0,131.3,39,22.32,242.9,101,20.65,278.8,100,12.55,8.5,2,2.3,2
 390-2676,100, no, no,0,167.2,100,28.42,141.2,87,12,251.3,76,11.31,6.1,6,1.65,3
 420-4132,174, no, no,0,222.3,102,37.79,173.8,123,14.77,297.2,97,13.37,5.7,2,1.54,0
 393-2256,98, no, no,0,198.6,92,33.76,349.4,99,29.7,221.7,83,9.98,7.3,6,1.97,2
 386-3716,42, no, no,0,139.4,109,23.7,223.8,121,19.02,244.9,105,11.02,4.6,3,1.24,1
 389-8407,99, no, no,0,130.4,121,22.17,219.9,103,18.69,84.1,85,3.78,9.8,3,2.65,2
 342-6680,122, no, no,0,184.6,88,31.38,148.8,98,12.65,309.7,58,13.94,14.3,2,3.86,3
 364-6617,4, yes, no,0,169.7,96,28.85,131.8,94,11.2,245.1,86,11.03,14.2,4,3.83,0
 383-3583,119, no, no,0,153.2,131,26.04,116.6,85,9.91,218.5,74,9.83,10.1,5,2.73,1
 338-4704,31, no, no,0,224.5,96,38.17,191.2,72,16.25,214.5,100,9.65,9.1,1,2.46,2
 400-3168,114, no, no,0,247.8,95,42.13,255.1,98,21.68,224.1,105,10.08,9.5,6,2.57,1
 394-7682,47, yes, no,0,177.1,104,30.11,217.4,97,18.48,191.8,131,8.63,9.7,5,2.62,2
 337-8750,77, no, no,0,134.5,119,22.87,119.7,104,10.17,250.7,112,11.28,9.3,5,2.51,0
 329-1120,39, no, yes,38,201.8,66,34.31,200.1,87,17.01,173.7,112,7.82,9.5,3,2.57,0
 339-6887,193, no, no,0,180.5,114,30.69,117.9,80,10.02,192.9,97,8.68,10.2,4,2.75,2
 382-6740,103, no, yes,40,164.5,95,27.97,228.7,82,19.44,194.7,97,8.76,7.4,1,2,4
 399-1526,36, yes, yes,19,171.9,96,29.22,198.4,111,16.86,321.7,76,14.48,10.5,1,2.84,1
 382-6119,149, no, no,0,244.2,83,41.51,262,72,22.27,144.5,113,6.5,7,4,1.89,1
 404-2069,87, no, no,0,221.4,69,37.64,195.2,53,16.59,120.6,91,5.43,13.7,4,3.7,1
 329-2106,1, no, no,0,241.5,114,41.06,195.2,94,16.59,201.6,93,9.07,14.1,3,3.81,3
 384-8314,62, no, no,0,116.5,77,19.81,186.1,111,15.82,180.6,72,8.13,16.1,2,4.35,3
 358-7212,112, no, no,0,158.1,107,26.88,181.5,101,15.43,200.3,126,9.01,8.3,7,2.24,1
 370-8039,82, no, no,0,121.6,81,20.67,191.3,109,16.26,231.4,81,10.41,8.6,5,2.32,3
 387-5618,86, no, no,0,178.3,94,30.31,264.4,74,22.47,284.6,109,12.81,15,2,4.05,0
 409-3611,141, no, no,0,215.8,79,36.69,112.7,85,9.58,221.8,109,9.98,5.6,4,1.51,2
 373-4542,55, no, yes,28,222.5,134,37.83,177.8,106,15.11,194.6,90,8.76,9.7,4,2.62,2
 384-1895,127, no, no,0,264.5,75,44.97,179.2,91,15.23,141.9,93,6.39,8,1,2.16,1
 380-1093,82, no, yes,23,123.7,93,21.03,139.1,74,11.82,174.5,118,7.85,10.6,2,2.86,1
 383-1580,69, no, no,0,244.8,76,41.62,77.2,100,6.56,222.8,102,10.03,10,3,2.7,0
 341-9321,131, no, no,0,212.8,108,36.18,212,115,18.02,235.9,96,10.62,9.8,11,2.65,0
 384-3968,87, no, no,0,297.4,63,50.56,118.4,108,10.06,242.3,72,10.9,11,2,2.97,2
 342-7847,63, no, no,0,147.8,95,25.13,201.4,72,17.12,154.9,118,6.97,8.6,8,2.32,1
 331-8698,124, yes, yes,29,187.1,75,31.81,148.5,142,12.62,214.4,124,9.65,5.5,7,1.49,2
 337-7132,148, no, no,0,236.5,84,40.21,236,95,20.06,228.6,124,10.29,8.3,6,2.24,2
 364-7579,68, no, no,0,186.5,108,31.71,190.2,107,16.17,187.8,103,8.45,11,5,2.97,1
 379-7890,72, yes, no,0,286.1,101,48.64,306.1,94,26.02,232.8,89,10.48,10.3,1,2.78,4
 420-6893,119, no, no,0,107.2,100,18.22,221.1,100,18.79,212.6,96,9.57,8.3,3,2.24,2
 358-5239,43, no, yes,36,93.1,68,15.83,246.1,83,20.92,94.9,109,4.27,8.7,8,2.35,1
 343-4434,136, no, no,0,132.4,110,22.51,254.1,81,21.6,176.5,100,7.94,13,6,3.51,2
 385-6470,97, no, no,0,80.7,99,13.72,262.3,93,22.3,214.6,130,9.66,8.8,3,2.38,0
 327-6947,149, no, no,0,114.5,103,19.47,228.8,100,19.45,135.8,74,6.11,10.7,3,2.89,0
 413-2034,59, no, no,0,155.5,92,26.44,192.3,104,16.35,123.3,106,5.55,10.5,3,2.84,4
 364-1156,77, no, no,0,184.7,130,31.4,194,105,16.49,249.1,91,11.21,9,4,2.43,1
 379-6936,110, no, no,0,94.1,127,16,283,97,24.06,168.7,69,7.59,10.3,6,2.78,2
 327-7615,70, no, no,0,229.3,110,38.98,118.2,89,10.05,155,105,6.98,7.9,4,2.13,1
 334-3433,155, no, no,0,223.8,109,38.05,233.4,68,19.84,201.6,111,9.07,8.8,8,2.38,1
 386-7672,151, no, yes,27,154.4,141,26.25,210.6,109,17.9,167.9,109,7.56,7.8,3,2.11,3
 330-8642,125, no, no,0,190.2,107,32.33,209.2,75,17.78,102.1,136,4.59,14.2,5,3.83,4
 352-4255,83, no, no,0,167,120,28.39,209.1,102,17.77,131,107,5.9,8.6,2,2.32,1
 334-3152,94, no, no,0,154.8,113,26.32,261.8,121,22.25,213,81,9.58,11.6,5,3.13,0
 356-3554,11, no, yes,36,293.4,122,49.88,174.1,91,14.8,212,50,9.54,6.9,6,1.86,1
 404-9485,92, no, no,0,160.5,113,27.29,287.3,134,24.42,212.6,93,9.57,8.2,3,2.21,3
 361-3491,70, no, yes,20,230.2,110,39.13,177.5,111,15.09,206.3,38,9.28,11.9,2,3.21,0
 393-8000,82, no, no,0,191.9,95,32.62,116.7,105,9.92,202.6,113,9.12,8.2,5,2.21,0
 403-7587,65, no, no,0,131.5,119,22.36,222.3,119,18.9,155.3,83,6.99,11.1,7,3,1
 375-8584,102, no, no,0,171.6,116,29.17,219.4,111,18.65,242.1,85,10.89,12.1,4,3.27,0
 400-4883,112, no, no,0,242.1,69,41.16,235.2,150,19.99,237.7,106,10.7,10,5,2.7,3
 380-2125,78, no, no,0,157.3,61,26.74,242,119,20.57,196,107,8.82,10.6,1,2.86,1
 407-7760,77, yes, no,0,192.7,82,32.76,198,91,16.83,204.2,95,9.19,9,6,2.43,1
 404-3184,126, no, no,0,175.6,91,29.85,151.1,100,12.84,201.5,100,9.07,9.9,2,2.67,1
 391-1850,58, no, yes,29,239.6,84,40.73,182.1,80,15.48,118.3,100,5.32,11,3,2.97,2
 353-5218,38, no, no,0,96.9,110,16.47,241.4,75,20.52,141,69,6.35,10.8,3,2.92,0
 413-6899,87, no, no,0,129.5,104,22.02,194,133,16.49,287.9,65,12.96,7.2,7,1.94,2
 363-5220,72, yes, no,0,274,75,46.58,162.8,110,13.84,110,121,4.95,7.7,3,2.08,4
 388-2082,69, no, no,0,111.7,86,18.99,187.5,68,15.94,194.8,128,8.77,11.6,10,3.13,2
 403-1286,85, no, no,0,142.7,82,24.26,179.1,106,15.22,141.4,88,6.36,5,8,1.35,3
 399-7573,176, no, no,0,216.7,91,36.84,233.9,104,19.88,231.1,110,10.4,9,4,2.43,1
 412-4990,133, no, no,0,207.1,106,35.21,283.5,124,24.1,65.2,107,2.93,10.5,2,2.84,3
 406-7175,146, no, no,0,214.8,86,36.52,230.9,94,19.63,223.8,100,10.07,5.8,3,1.57,3
 410-4125,31, no, no,0,142.9,67,24.29,109.7,72,9.32,293.6,112,13.21,11.5,6,3.11,0
 372-2361,78, yes, no,0,71.5,126,12.16,166.8,127,14.18,211.6,86,9.52,8.3,2,2.24,3
 379-5981,118, no, no,0,77.6,113,13.19,126.9,75,10.79,191,79,8.59,14.9,4,4.02,1
 343-9362,119, no, no,0,73.7,66,12.53,160.5,132,13.64,214.2,67,9.64,13,6,3.51,3
 407-1461,141, no, no,0,264.3,90,44.93,216.4,101,18.39,208.8,72,9.4,9.6,3,2.59,0
 336-2510,91, yes, no,0,103.2,100,17.54,124.8,154,10.61,336.1,111,15.12,14,4,3.78,2
 390-2027,150, yes, no,0,114.8,156,19.52,135.3,78,11.5,218.4,98,9.83,15.6,4,4.21,1
 350-9298,76, no, no,0,212.5,124,36.13,215.5,110,18.32,128,94,5.76,5.2,9,1.4,3
 343-7980,159, no, yes,36,288.2,120,48.99,227.1,105,19.3,198.2,113,8.92,13.3,7,3.59,1
 338-6767,66, no, no,0,192.4,98,32.71,187,93,15.9,132.9,82,5.98,11.2,1,3.02,0
 383-9392,139, no, no,0,102.2,76,17.37,230,106,19.55,183.4,136,8.25,10.8,4,2.92,1
 350-1054,122, yes, no,0,49.5,114,8.42,214.1,98,18.2,154.9,120,6.97,10,4,2.7,0
 382-3034,91, no, no,0,153.2,70,26.04,231.7,91,19.69,115.1,80,5.18,9.8,3,2.65,4
 354-7303,131, no, no,0,55.5,79,9.44,163.5,104,13.9,128.1,59,5.76,10.1,4,2.73,1
 416-5380,135, no, no,0,247.2,61,42.02,168.7,122,14.34,169.8,100,7.64,6.6,1,1.78,0
 359-1287,109, no, yes,40,99.7,116,16.95,140.3,117,11.93,221.3,76,9.96,13.9,5,3.75,3
 368-5046,129, no, no,0,220.2,117,37.43,261.1,102,22.19,165.9,132,7.47,10.8,1,2.92,2
 416-3536,85, no, no,0,116.9,75,19.87,183.3,109,15.58,307.4,119,13.83,10,8,2.7,2
 347-1182,125, no, no,0,175.9,98,29.9,192.8,148,16.39,278.2,110,12.52,10.6,5,2.86,0
 402-4206,67, no, no,0,208,95,35.36,234.8,81,19.96,266,80,11.97,11.7,6,3.16,3
 398-3490,61, no, yes,28,239.9,110,40.78,218.9,87,18.61,166,46,7.47,12.1,4,3.27,1
 342-6182,77, no, no,0,136.5,95,23.21,182.6,102,15.52,233.6,93,10.51,9.9,10,2.67,1
 389-4686,135, yes, no,0,174.8,112,29.72,218,125,18.53,180.1,102,8.1,12.7,6,3.43,3
 380-1669,43, no, yes,26,141.5,94,24.06,196.4,123,16.69,172.4,100,7.76,12.9,1,3.48,3
 403-1409,120, no, no,0,79.2,123,13.46,212.1,106,18.03,224.6,104,10.11,10.2,4,2.75,3
 410-4629,62, no, no,0,238.9,102,40.61,161.4,115,13.72,248.5,103,11.18,13.4,4,3.62,0
 355-7681,160, no, yes,37,179.8,104,30.57,144.8,115,12.31,209.1,89,9.41,11.1,8,3,3
 418-7885,67, no, no,0,225.9,78,38.4,243.1,83,20.66,84.1,94,3.78,13.5,2,3.65,2
 365-1710,98, no, no,0,189.8,113,32.27,271.5,111,23.08,218.9,96,9.85,13,5,3.51,1
 388-4235,103, no, no,0,267,97,45.39,204.3,151,17.37,246.9,67,11.11,11.3,7,3.05,1
 375-6971,121, no, no,0,217.3,79,36.94,218,106,18.53,166.5,69,7.49,11.5,7,3.11,1
 395-7027,111, no, no,0,129.1,92,21.95,148.9,132,12.66,264,103,11.88,16.8,7,4.54,2
 344-1999,127, no, no,0,135.5,110,23.04,146,116,12.41,208,88,9.36,10.7,4,2.89,2
 364-8637,65, no, no,0,183.4,63,31.18,183.6,80,15.61,153.5,83,6.91,10.7,4,2.89,4
 342-4634,86, no, no,0,223,109,37.91,286.2,76,24.33,257.8,132,11.6,7.5,7,2.03,3
 419-7320,133, no, yes,24,125.5,106,21.34,161.2,95,13.7,209.1,112,9.41,15,4,4.05,2
 351-4104,238, no, no,0,202,60,34.34,213.9,105,18.18,266.4,90,11.99,12,1,3.24,2
 398-8353,119, no, no,0,140,135,23.8,138.9,103,11.81,230.2,121,10.36,6.1,6,1.65,0
 387-6522,113, no, no,0,126,90,21.42,205.8,92,17.49,217,121,9.76,12.8,1,3.46,0
 328-6785,126, no, no,0,228.2,68,38.79,170.2,102,14.47,168.9,72,7.6,10.2,6,2.75,1
 414-5554,103, no, no,0,278.4,121,47.33,252.2,139,21.44,202.3,96,9.1,13.7,1,3.7,1
 365-9789,104, no, no,0,285.3,75,48.5,130.8,111,11.12,181.8,99,8.18,10.5,2,2.84,2
 349-3065,56, no, no,0,222.9,100,37.89,145.2,110,12.34,170.6,129,7.68,5.6,8,1.51,1
 386-7001,56, no, yes,37,153.7,97,26.13,271.4,91,23.07,179,121,8.06,8.3,2,2.24,1
 412-6782,155, yes, no,0,176.1,88,29.94,244.5,84,20.78,189.9,99,8.55,11.2,1,3.02,2
 367-6010,100, no, yes,41,306.9,71,52.17,243.3,72,20.68,125.9,114,5.67,10.5,4,2.84,2
 422-8472,113, no, no,0,203.4,85,34.58,219.8,140,18.68,240,107,10.8,8.3,5,2.24,1
 370-4667,103, no, yes,37,230.7,112,39.22,319.4,116,27.15,299.4,77,13.47,7.9,3,2.13,2
 414-6478,160, no, no,0,118.9,106,20.21,163.5,75,13.9,195,131,8.78,13.1,4,3.54,0
 380-4194,142, no, yes,34,219.5,85,37.32,144,120,12.24,258.2,84,11.62,7,3,1.89,1
 409-8346,73, yes, yes,34,252.9,103,42.99,220.1,79,18.71,144.9,65,6.52,11.4,3,3.08,0
 339-9147,135, no, yes,46,172.6,77,29.34,203.4,102,17.29,264.2,108,11.89,10.4,2,2.81,1
 371-7098,120, no, no,0,174.1,108,29.6,209.6,96,17.82,267.5,99,12.04,11.6,2,3.13,0
 399-5418,29, no, no,0,262,112,44.54,82.7,60,7.03,195.1,120,8.78,10.7,5,2.89,1
 409-1729,158, no, no,0,123.3,115,20.96,130.4,91,11.08,243.7,119,10.97,11.2,3,3.02,3
 387-7184,132, no, no,0,213.6,125,36.31,133.9,54,11.38,332.2,104,14.95,7.5,2,2.03,4
 407-5234,104, no, no,0,210.9,90,35.85,272.2,101,23.14,304.3,86,13.69,10.6,5,2.86,3
 377-4646,74, no, no,0,143.7,97,24.43,229.6,110,19.52,98.8,100,4.45,11.8,5,3.19,1
 347-6706,28, no, no,0,171.2,90,29.1,173.9,65,14.78,210.5,139,9.47,14,4,3.78,2
 360-8131,45, yes, no,0,189.6,96,32.23,171.7,69,14.59,222,102,9.99,13.9,7,3.75,1
 342-2078,60, no, no,0,229.5,91,39.02,157.7,67,13.4,162.4,76,7.31,13.2,3,3.56,2
 332-3072,173, no, no,0,128.6,108,21.86,248.3,92,21.11,130.1,115,5.85,10.4,2,2.81,4
 394-5397,152, no, yes,26,214.8,82,36.52,226.7,135,19.27,206.7,97,9.3,7.6,11,2.05,1
 388-8481,140, no, no,0,187.1,110,31.81,158,70,13.43,211.4,123,9.51,8.5,2,2.3,2
 385-3019,94, no, yes,31,209.3,90,35.58,281.7,111,23.94,190.1,66,8.55,7.9,5,2.13,0
 337-1302,88, no, no,0,141.7,102,24.09,226.2,125,19.23,100.1,93,4.5,11.9,8,3.21,0
 370-5687,170, no, yes,22,173.6,66,29.51,142.2,83,12.09,156.5,93,7.04,5.2,3,1.4,1
 355-2963,57, no, no,0,176.9,75,30.07,204.2,86,17.36,254.1,90,11.43,6.1,4,1.65,1
 352-3832,78, yes, no,0,198.9,93,33.81,210.6,86,17.9,252.1,99,11.34,14.4,12,3.89,0
 416-8826,102, no, yes,27,109.8,66,18.67,207.3,76,17.62,236.9,101,10.66,10.3,7,2.78,0
 340-9208,49, no, no,0,202.3,105,34.39,195.4,131,16.61,190.1,88,8.55,9,2,2.43,3
 379-6697,195, no, no,0,221.6,109,37.67,126.2,94,10.73,212.2,98,9.55,6.4,2,1.73,0
 386-9320,64, no, no,0,131.3,105,22.32,109.4,114,9.3,246.2,125,11.08,12.7,4,3.43,4
 336-4889,105, yes, no,0,274,156,46.58,263,69,22.36,195.9,93,8.82,11.3,3,3.05,3
 352-1257,81, no, yes,33,200.3,103,34.05,216.9,96,18.44,249.8,100,11.24,15.5,4,4.19,1
 396-4149,123, no, yes,38,202.3,104,34.39,292.4,105,24.85,239.3,63,10.77,11.2,1,3.02,3
 408-8873,63, no, no,0,204,119,34.68,161.7,90,13.74,202.6,113,9.12,9.4,4,2.54,3
 340-1893,126, no, no,0,193.1,114,32.83,75.5,61,6.42,186.2,73,8.38,11.1,1,3,3
 420-1372,153, no, no,0,202.2,132,34.37,158.9,78,13.51,111.4,98,5.01,8.6,4,2.32,2
 385-7814,67, no, no,0,245.1,118,41.67,185.2,94,15.74,193.6,112,8.71,8.1,3,2.19,3
 400-9082,65, no, no,0,158.3,71,26.91,168.3,119,14.31,139.9,119,6.3,6.6,6,1.78,2
 368-5621,21, no, no,0,138.1,79,23.48,186.9,75,15.89,194.2,105,8.74,12.1,1,3.27,0
 355-3803,72, no, no,0,212.7,92,36.16,306.4,100,26.04,140.3,90,6.31,12.9,6,3.48,0
 382-4771,176, no, no,0,304.2,111,51.71,306.6,64,26.06,207.9,98,9.36,9.5,2,2.57,7
 340-6060,150, no, yes,24,212.4,157,36.11,168.7,91,14.34,199.4,112,8.97,9.7,1,2.62,2
 379-5017,108, yes, no,0,137.3,68,23.34,143.8,94,12.22,238.7,101,10.74,8.9,1,2.4,1
 347-2422,129, no, yes,10,161.4,91,27.44,183.1,102,15.56,240.3,65,10.81,12.9,3,3.48,1
 335-6557,73, yes, no,0,202.9,108,34.49,285.9,121,24.3,219,102,9.86,12.8,5,3.46,1
 408-8957,90, no, no,0,272.2,75,46.27,122.9,96,10.45,252.6,100,11.37,9.2,2,2.48,0
 379-9438,105, no, no,0,98.2,103,16.69,140.3,91,11.93,140.2,106,6.31,13.9,1,3.75,1
 329-5668,115, no, no,0,80.8,81,13.74,195.7,91,16.63,190.1,66,8.55,11.7,6,3.16,1
 417-3313,82, no, no,0,207.2,114,35.22,163.7,97,13.91,192.8,79,8.68,9.3,4,2.51,7
 372-1849,131, no, no,0,227.7,134,38.71,162.7,88,13.83,279.4,90,12.57,8.9,7,2.4,4
 402-6363,77, no, no,0,208.8,117,35.5,175.4,81,14.91,171.5,105,7.72,13.4,3,3.62,0
 402-7349,201, no, no,0,159.9,61,27.18,237.3,124,20.17,290.2,99,13.06,13.4,4,3.62,3
 414-2751,139, yes, no,0,185.1,101,31.47,266.7,75,22.67,207.9,95,9.36,9,3,2.43,3
 351-9450,94, no, no,0,139.1,93,23.65,237.9,100,20.22,227.1,59,10.22,11.4,3,3.08,1
 330-9197,95, no, no,0,155.5,99,26.44,167,75,14.2,190.7,125,8.58,13.2,4,3.56,1
 367-8176,138, no, no,0,180.5,82,30.69,242.4,103,20.6,244.4,89,11,10.3,7,2.78,2
 409-7971,105, no, no,0,204.6,111,34.78,134.4,109,11.42,260.8,69,11.74,5.7,7,1.54,1
 333-6788,81, yes, no,0,220.4,76,37.47,276.4,122,23.49,239.5,112,10.78,11.4,5,3.08,1
 386-3651,127, no, no,0,223.2,137,37.94,144.7,119,12.3,96,109,4.32,8.6,4,2.32,2
 417-3884,84, no, no,0,109.1,114,18.55,231.4,113,19.67,274,112,12.33,9.6,4,2.59,0
 395-9771,47, no, yes,30,136.5,101,23.21,174.9,74,14.87,146.4,91,6.59,10.9,3,2.94,2
 405-8341,128, yes, no,0,192.8,96,32.78,136.6,86,11.61,151.8,75,6.83,13.5,4,3.65,1
